D,R,L,S_media,Ciclos_por_bucle,Ciclos_por_acceso
1,3072,384,-111.9742680811,21695.800,7.06243
1,9216,1152,-118.1927096956,65905.600,7.15122
1,81920,10240,-509.3926806223,584606.600,7.13631
1,122880,15360,591.0653226539,880603.200,7.16637
1,327680,40960,614.1482371730,2340771.400,7.14347
1,655360,81920,-1631.7461099019,4757363.600,7.25916
1,1310720,163840,-613.6516611030,9504801.200,7.25159
8,384,384,21.6275795561,2688.000,7.00000
8,1152,1152,-7.5592211352,8142.800,7.06840
8,10240,10240,31.5469882929,73996.600,7.22623
8,15360,15360,-57.2252594685,114140.800,7.43104
8,40960,40960,-13.7292941318,318991.200,7.78787
8,81920,81920,179.4175436839,639840.000,7.81055
8,163840,163840,891.6191114064,1509260.600,9.21180
64,48,384,-20.6543572529,317.200,6.60833
64,144,1152,13.2048248589,997.800,6.92917
64,1280,10240,-115.0139597883,10246.400,8.00500
64,1920,15360,45.7368905664,15048.000,7.83750
64,5120,40960,-62.0388720571,46239.400,9.03113
64,10240,81920,82.9377444368,102579.000,10.01748
64,20480,163840,-194.6241094957,217869.400,10.63815
512,6,384,-3.0825628955,53.800,8.96667
512,18,1152,15.0443478646,136.400,7.57778
512,160,10240,-4.3118549661,1142.400,7.14000
512,240,15360,43.4252030344,1862.400,7.76000
512,640,40960,23.3791347944,15600.000,24.37500
512,1280,81920,-82.2908182704,14285.800,11.16078
512,2560,163840,30.7601192448,39391.800,15.38742
4096,1,384,1.2816341870,31.400,31.40000
4096,2,1152,0.1932074969,35.600,17.80000
4096,20,10240,3.5483931883,145.000,7.25000
4096,30,15360,17.8340555405,803.800,26.79333
4096,80,40960,0.1359778583,1694.000,21.17500
4096,160,81920,-1.4661882266,2708.200,16.92625
4096,320,163840,-61.4832523006,11181.600,34.94250
1,3072,384,109.2251131727,21700.400,7.06393
1,9216,1152,301.1345754839,71151.800,7.72046
1,81920,10240,-212.0525140940,610706.400,7.45491
1,122880,15360,-72.1750449926,894015.600,7.27552
1,327680,40960,275.7859642258,2335922.000,7.12867
1,655360,81920,77.1532210066,4674724.600,7.13306
1,1310720,163840,272.8454587925,9569219.200,7.30073
8,384,384,4.5418600214,2692.200,7.01094
8,1152,1152,-46.7474538729,8140.400,7.06632
8,10240,10240,-88.8777070888,72974.600,7.12643
8,15360,15360,-148.3570496116,113326.400,7.37802
8,40960,40960,-408.4227428308,310525.000,7.58118
8,81920,81920,-279.8477039555,638024.000,7.78838
8,163840,163840,159.8101800134,1339468.000,8.17546
64,48,384,5.8524386826,311.600,6.49167
64,144,1152,12.5621277609,997.600,6.92778
64,1280,10240,53.5569199233,9131.600,7.13406
64,1920,15360,92.2738141042,13909.200,7.24437
64,5120,40960,-143.1854568842,40728.000,7.95469
64,10240,81920,-287.7605664366,88718.600,8.66393
64,20480,163840,-267.3558408941,200944.000,9.81172
512,6,384,3.1757474151,52.200,8.70000
512,18,1152,-0.6349871171,131.200,7.28889
512,160,10240,-13.4495470288,1158.000,7.23750
512,240,15360,29.1830920312,2081.600,8.67333
512,640,40960,8.5633715045,8957.000,13.99531
512,1280,81920,20.9535216871,11553.400,9.02609
512,2560,163840,28.3101249283,48202.000,18.82891
4096,1,384,-1.2826299482,32.400,32.40000
4096,2,1152,0.1482696976,35.200,17.60000
4096,20,10240,-15.1745534060,148.000,7.40000
4096,30,15360,-4.2405272514,372.800,12.42667
4096,80,40960,26.9682110268,726.600,9.08250
4096,160,81920,20.3729961502,1665.200,10.40750
4096,320,163840,37.3737851173,4848.000,15.15000
1,3072,384,-6.0876444616,21693.000,7.06152
1,9216,1152,-110.9537772881,65378.000,7.09397
1,81920,10240,-309.4323313662,585301.600,7.14479
1,122880,15360,-608.1838691128,876520.800,7.13314
1,327680,40960,1017.6468790032,2368785.200,7.22896
1,655360,81920,-268.4348602143,4711105.000,7.18858
1,1310720,163840,-1413.3820411695,9354512.000,7.13693
8,384,384,58.9334963360,2688.200,7.00052
8,1152,1152,76.9681857149,8156.800,7.08056
8,10240,10240,447.1201417568,73839.600,7.21090
8,15360,15360,10.8305986919,110937.400,7.22249
8,40960,40960,235.4467457973,311869.800,7.61401
8,81920,81920,304.8990686316,629610.400,7.68567
8,163840,163840,286.7509003313,1302034.800,7.94699
64,48,384,-1.9547384279,305.200,6.35833
64,144,1152,-13.4777243792,995.800,6.91528
64,1280,10240,-9.6807146308,9206.200,7.19234
64,1920,15360,44.8533554444,14503.800,7.55406
64,5120,40960,49.7733603915,40116.600,7.83527
64,10240,81920,-109.5236166117,89881.000,8.77744
64,20480,163840,-538.5111841813,202417.200,9.88365
512,6,384,3.6761422538,64.600,10.76667
512,18,1152,9.0191404643,136.600,7.58889
512,160,10240,-5.9885471268,1150.400,7.19000
512,240,15360,-8.1305928343,1790.800,7.46167
512,640,40960,-33.2368843985,6812.200,10.64406
512,1280,81920,77.2384942184,21543.200,16.83063
512,2560,163840,104.7860433123,117982.600,46.08695
4096,1,384,-1.1002180521,20.800,20.80000
4096,2,1152,0.4660890859,34.000,17.00000
4096,20,10240,-6.3603342866,162.400,8.12000
4096,30,15360,0.9705414530,234.000,7.80000
4096,80,40960,-18.0184276537,685.400,8.56750
4096,160,81920,-16.9815583862,1485.200,9.28250
4096,320,163840,44.5574610962,5204.600,16.26438
1,3072,384,4.1233780287,23324.000,7.59245
1,9216,1152,-169.0851018131,66562.000,7.22244
1,81920,10240,-556.0741178454,595739.800,7.27221
1,122880,15360,-52.0843761005,889153.200,7.23595
1,327680,40960,-8.8740566866,2403124.600,7.33375
1,655360,81920,-41.4047948823,4771367.400,7.28053
1,1310720,163840,2499.7995127702,9624222.600,7.34270
8,384,384,38.4984309131,2690.400,7.00625
8,1152,1152,-11.1009216854,8140.400,7.06632
8,10240,10240,234.8407920198,74574.600,7.28268
8,15360,15360,15.7897953949,113206.800,7.37023
8,40960,40960,-158.4585255969,330355.200,8.06531
8,81920,81920,-129.5527285387,622518.600,7.59910
8,163840,163840,746.1811624114,1511947.200,9.22819
64,48,384,-10.6324065689,326.400,6.80000
64,144,1152,-2.5914751564,996.000,6.91667
64,1280,10240,35.1656412297,12763.000,9.97109
64,1920,15360,133.2620954058,14333.600,7.46542
64,5120,40960,142.8159930882,45694.000,8.92461
64,10240,81920,-79.2388007791,173052.000,16.89961
64,20480,163840,-214.8446857416,269117.600,13.14051
512,6,384,5.9213191396,61.600,10.26667
512,18,1152,3.4732224003,131.400,7.30000
512,160,10240,2.7136911711,1138.200,7.11375
512,240,15360,-7.6275240228,1918.200,7.99250
512,640,40960,-4.9401216805,10537.400,16.46469
512,1280,81920,-14.7127436962,25001.600,19.53250
512,2560,163840,33.0537515083,54932.200,21.45789
4096,1,384,-1.1412704820,30.000,30.00000
4096,2,1152,2.8502124422,38.000,19.00000
4096,20,10240,2.7249621985,163.400,8.17000
4096,30,15360,0.3251399967,268.200,8.94000
4096,80,40960,1.0686022258,724.000,9.05000
4096,160,81920,-0.8405661219,1730.800,10.81750
4096,320,163840,-51.3617582090,7697.200,24.05375
1,3072,384,33.1078979932,22134.600,7.20527
1,9216,1152,-137.3337838782,65142.200,7.06838
1,81920,10240,-607.2740344406,581338.000,7.09641
1,122880,15360,-1690.8795278761,879494.200,7.15734
1,327680,40960,2173.6595897161,2356551.600,7.19162
1,655360,81920,650.8539068726,4751645.000,7.25043
1,1310720,163840,2373.5694335740,9531416.600,7.27189
8,384,384,-3.6116185941,2683.000,6.98698
8,1152,1152,20.3076587223,8159.400,7.08281
8,10240,10240,-104.2224444953,74587.200,7.28391
8,15360,15360,0.0616479921,115067.600,7.49138
8,40960,40960,328.4927371300,317615.200,7.75428
8,81920,81920,54.0086697452,655758.600,8.00487
8,163840,163840,797.0960004200,1336264.400,8.15591
64,48,384,3.4697899122,314.200,6.54583
64,144,1152,11.9840398035,1013.400,7.03750
64,1280,10240,-25.5571266089,9251.200,7.22750
64,1920,15360,66.4548161959,14319.000,7.45781
64,5120,40960,-46.6528338635,42862.600,8.37160
64,10240,81920,-201.6305121219,97565.800,9.52791
64,20480,163840,-141.6730686248,222383.400,10.85856
512,6,384,-5.0019566114,66.000,11.00000
512,18,1152,7.5530458230,130.400,7.24444
512,160,10240,-16.4390858139,1176.600,7.35375
512,240,15360,-33.3024789562,2024.000,8.43333
512,640,40960,-2.0934621240,12779.200,19.96750
512,1280,81920,67.0473604305,31072.200,24.27516
512,2560,163840,37.2107243762,56392.000,22.02812
4096,1,384,-1.9061241215,23.800,23.80000
4096,2,1152,-3.7119494517,33.200,16.60000
4096,20,10240,-2.2893483016,197.800,9.89000
4096,30,15360,-4.4694893595,238.400,7.94667
4096,80,40960,27.6822936692,760.200,9.50250
4096,160,81920,37.1001477121,1619.600,10.12250
4096,320,163840,40.1670943695,5729.400,17.90438
1,3072,384,6.6161676243,21694.800,7.06211
1,9216,1152,207.1418413795,69238.800,7.51289
1,81920,10240,-202.7352009480,592091.800,7.22768
1,122880,15360,-520.9842380835,934695.400,7.60657
1,327680,40960,279.3512163294,2380628.200,7.26510
1,655360,81920,77.9781104685,4762981.200,7.26773
1,1310720,163840,-139.8587064501,9440981.000,7.20290
8,384,384,0.9909250103,2687.800,6.99948
8,1152,1152,20.8297148551,8156.200,7.08003
8,10240,10240,-70.0351720760,74240.200,7.25002
8,15360,15360,63.7990396664,111579.600,7.26430
8,40960,40960,-260.3772662931,316815.000,7.73474
8,81920,81920,-243.4893256433,657849.000,8.03038
8,163840,163840,54.0122432830,1456645.200,8.89066
64,48,384,-1.2174950481,307.600,6.40833
64,144,1152,-33.7502565336,1008.600,7.00417
64,1280,10240,-28.2901468525,10678.600,8.34266
64,1920,15360,64.8642197246,15886.800,8.27437
64,5120,40960,-46.1163066109,62252.600,12.15871
64,10240,81920,130.9428428178,97703.800,9.54139
64,20480,163840,-62.7911911499,216173.800,10.55536
512,6,384,3.5516406049,57.600,9.60000
512,18,1152,-11.0391608677,145.000,8.05556
512,160,10240,-31.9799942975,1200.400,7.50250
512,240,15360,-13.8348363912,2055.000,8.56250
512,640,40960,-5.2657133458,12700.000,19.84375
512,1280,81920,56.6157531611,26031.600,20.33719
512,2560,163840,-83.9282246856,45914.800,17.93547
4096,1,384,1.9026888683,36.400,36.40000
4096,2,1152,-2.9761637743,32.000,16.00000
4096,20,10240,6.1677241461,173.800,8.69000
4096,30,15360,-15.4478918218,310.600,10.35333
4096,80,40960,1.9107696274,1088.000,13.60000
4096,160,81920,-25.4131034242,1536.200,9.60125
4096,320,163840,-6.3398060963,6018.400,18.80750
1,3072,384,-63.2072920227,21693.600,7.06172
1,9216,1152,-45.4504955343,65822.800,7.14223
1,81920,10240,66.0791470674,583757.800,7.12595
1,122880,15360,-1054.4918891524,878940.000,7.15283
1,327680,40960,644.4946900664,2377677.800,7.25610
1,655360,81920,734.5749332023,4757550.800,7.25945
1,1310720,163840,1442.2725481747,9981411.400,7.61521
8,384,384,32.0430603442,2687.400,6.99844
8,1152,1152,-15.2453983451,8213.200,7.12951
8,10240,10240,-1.4923237141,74315.400,7.25736
8,15360,15360,56.9575674962,111597.600,7.26547
8,40960,40960,-135.2804378300,339292.000,8.28350
8,81920,81920,312.7756820693,615074.000,7.50823
8,163840,163840,-1160.4386712282,1237014.400,7.55014
64,48,384,-5.9427096853,305.800,6.37083
64,144,1152,-8.6013606217,994.600,6.90694
64,1280,10240,-16.9423518269,9148.200,7.14703
64,1920,15360,97.1230750383,15041.800,7.83427
64,5120,40960,-23.6253725265,50746.400,9.91141
64,10240,81920,6.6164488898,79412.200,7.75510
64,20480,163840,-169.8893387196,170035.200,8.30250
512,6,384,-0.9238012647,51.800,8.63333
512,18,1152,0.4477736579,119.600,6.64444
512,160,10240,28.8465379597,1127.400,7.04625
512,240,15360,-34.8451931844,1763.400,7.34750
512,640,40960,76.6790313407,5461.400,8.53344
512,1280,81920,-45.0851132796,11087.200,8.66188
512,2560,163840,-59.6877587962,34510.000,13.48047
4096,1,384,-1.8857451365,29.800,29.80000
4096,2,1152,-3.0727822865,36.800,18.40000
4096,20,10240,-18.0488456199,152.800,7.64000
4096,30,15360,1.2565132926,212.400,7.08000
4096,80,40960,15.9119624854,632.200,7.90250
4096,160,81920,-6.6489513198,1373.400,8.58375
4096,320,163840,44.2386322404,3449.400,10.77937
1,3072,384,55.7405021753,21695.600,7.06237
1,9216,1152,62.8343398207,65230.200,7.07793
1,81920,10240,-167.4930408967,581638.000,7.10007
1,122880,15360,306.2156924974,872132.400,7.09743
1,327680,40960,952.2394524371,2333014.000,7.11979
1,655360,81920,799.1160343891,4662822.400,7.11490
1,1310720,163840,193.0549655235,9347556.800,7.13162
8,384,384,9.8084373771,2689.600,7.00417
8,1152,1152,-70.6299085839,8135.800,7.06233
8,10240,10240,53.3580665031,72689.000,7.09854
8,15360,15360,63.5665352710,112901.200,7.35034
8,40960,40960,-37.9526069709,299615.000,7.31482
8,81920,81920,-59.8490097149,599060.200,7.31275
8,163840,163840,228.8652004059,1197690.000,7.31012
64,48,384,8.9254158823,305.000,6.35417
64,144,1152,-17.2466904513,997.600,6.92778
64,1280,10240,-86.1583007896,9068.000,7.08437
64,1920,15360,-112.1031891658,13829.400,7.20281
64,5120,40960,4.5912883797,40302.600,7.87160
64,10240,81920,102.6794242224,83627.600,8.16676
64,20480,163840,-264.3471477713,209945.200,10.25123
512,6,384,-5.6440417737,61.200,10.20000
512,18,1152,2.6500052152,146.000,8.11111
512,160,10240,2.4795656588,1191.000,7.44375
512,240,15360,1.8365105590,2425.200,10.10500
512,640,40960,-30.0317832031,9821.000,15.34531
512,1280,81920,18.6700228456,13075.400,10.21516
512,2560,163840,118.3490639410,64834.200,25.32586
4096,1,384,1.3900288075,27.400,27.40000
4096,2,1152,-3.4047473922,28.800,14.40000
4096,20,10240,-6.5217886216,146.600,7.33000
4096,30,15360,-20.6127086066,503.800,16.79333
4096,80,40960,0.4169561273,1072.800,13.41000
4096,160,81920,-19.9629357657,2115.400,13.22125
4096,320,163840,-7.0368486145,4858.200,15.18187
1,3072,384,77.8600854985,21699.200,7.06354
1,9216,1152,-146.6997251505,65153.000,7.06955
1,81920,10240,-369.1595459884,582852.400,7.11490
1,122880,15360,-855.6603796397,876026.400,7.12912
1,327680,40960,341.7291726208,2352865.000,7.18037
1,655360,81920,-1334.9689114252,4722386.600,7.20579
1,1310720,163840,-2882.6966020137,9423171.400,7.18931
8,384,384,-51.4963058827,2693.400,7.01406
8,1152,1152,-22.2498466769,8168.200,7.09045
8,10240,10240,60.0684946161,73160.200,7.14455
8,15360,15360,33.1132496857,113073.400,7.36155
8,40960,40960,58.5671556683,302637.200,7.38860
8,81920,81920,487.3939630079,603343.200,7.36503
8,163840,163840,949.0924895397,1261715.800,7.70090
64,48,384,-8.3550537873,314.000,6.54167
64,144,1152,14.5938945229,1003.200,6.96667
64,1280,10240,43.4138658258,9229.200,7.21031
64,1920,15360,-29.4032462753,14943.200,7.78292
64,5120,40960,-182.9203565889,51531.200,10.06469
64,10240,81920,81.4624895870,87612.400,8.55590
64,20480,163840,235.0638494510,203361.200,9.92975
512,6,384,3.0869904552,73.200,12.20000
512,18,1152,-2.1271137577,123.600,6.86667
512,160,10240,9.2760416089,1130.400,7.06500
512,240,15360,-11.7262987917,1752.600,7.30250
512,640,40960,31.7050643744,5588.400,8.73188
512,1280,81920,127.4662728498,21150.400,16.52375
512,2560,163840,-163.9331167587,51754.400,20.21656
4096,1,384,1.3865799836,30.800,30.80000
4096,2,1152,2.4726151691,35.200,17.60000
4096,20,10240,3.5808112177,146.800,7.34000
4096,30,15360,3.1438377342,204.800,6.82667
4096,80,40960,-0.6022752130,636.600,7.95750
4096,160,81920,-23.3821961630,1569.400,9.80875
4096,320,163840,-3.0368667878,4706.400,14.70750
1,3072,384,10.7965532014,21693.400,7.06165
1,9216,1152,-278.7460146955,65224.600,7.07732
1,81920,10240,-610.2240078269,585665.600,7.14924
1,122880,15360,249.4287818700,874393.600,7.11583
1,327680,40960,-843.6637471186,2333724.400,7.12196
1,655360,81920,-1718.2952219966,4667586.600,7.12217
1,1310720,163840,2393.8422488499,9345619.400,7.13014
8,384,384,15.0130831995,2685.800,6.99427
8,1152,1152,-40.6900984271,8153.600,7.07778
8,10240,10240,35.9381910362,72755.000,7.10498
8,15360,15360,-146.4518808198,111047.000,7.22962
8,40960,40960,-128.8044905429,302290.000,7.38013
8,81920,81920,-517.3217104661,605396.600,7.39010
8,163840,163840,-187.6833197855,1242723.600,7.58498
64,48,384,8.4538791526,314.400,6.55000
64,144,1152,-1.7855306202,1008.400,7.00278
64,1280,10240,8.9369935216,17352.200,13.55641
64,1920,15360,22.8600055072,15038.400,7.83250
64,5120,40960,49.0469098119,56423.400,11.02020
64,10240,81920,-110.8187283225,85274.200,8.32756
64,20480,163840,-157.5608638574,199884.400,9.75998
512,6,384,0.4167381262,59.400,9.90000
512,18,1152,-0.2099552067,134.200,7.45556
512,160,10240,-10.7286625061,1173.800,7.33625
512,240,15360,12.1681097621,2091.200,8.71333
