D,R,L,S_media,Ciclos_por_bucle,Ciclos_por_acceso
1,3072,384,43.3221823635,79916.400,26.01445
1,9216,1152,189.1843247498,404259.200,43.86493
1,81920,10240,559.1362045319,2476484.800,30.23053
1,122880,15360,-177.6940891276,4237207.200,34.48248
1,327680,40960,789.5702639840,3563797.400,10.87585
1,655360,81920,-1361.0002963286,7198170.400,10.98354
1,1310720,163840,2083.1361631402,14378635.200,10.97003
8,384,384,-27.7916813799,4129.400,10.75365
8,1152,1152,28.7790695311,19790.200,17.17899
8,10240,10240,-42.0774123548,111566.000,10.89512
8,15360,15360,-87.0395179941,182392.000,11.87448
8,40960,40960,439.5032695949,2041267.600,49.83563
8,81920,81920,-294.0797370412,893561.800,10.90774
8,163840,163840,374.7629713517,1944718.000,11.86962
64,48,384,0.5914891705,526.000,10.95833
64,144,1152,-6.4958725988,2383.600,16.55278
64,1280,10240,41.5529783850,26071.800,20.36859
64,1920,15360,-13.0121177677,41942.400,21.84500
64,5120,40960,74.6563318934,84475.000,16.49902
64,10240,81920,-60.1969581522,124087.800,12.11795
64,20480,163840,102.5404970877,348615.600,17.02225
512,6,384,-3.2004713086,186.000,31.00000
512,18,1152,-3.0018212534,465.400,25.85556
512,160,10240,-21.6027019572,1848.200,11.55125
512,240,15360,1.6042422362,3229.200,13.45500
512,640,40960,-20.6031475396,45354.400,70.86625
512,1280,81920,73.0415806300,48534.200,37.91734
512,2560,163840,-62.0128745143,96815.600,37.81859
4096,1,384,1.1664879234,74.400,74.40000
4096,2,1152,3.7171836271,77.600,38.80000
4096,20,10240,17.0150130093,600.000,30.00000
4096,30,15360,-5.7842851392,876.200,29.20667
4096,80,40960,9.0281384229,2232.800,27.91000
4096,160,81920,14.8053445186,2170.000,13.56250
4096,320,163840,31.5224030994,4757.600,14.86750
1,3072,384,65.5928858060,68908.600,22.43118
1,9216,1152,57.1529078019,100190.600,10.87138
1,81920,10240,-170.2945729137,1235670.000,15.08386
1,122880,15360,181.9505365970,4666786.000,37.97840
1,327680,40960,1533.4728139171,6091808.800,18.59073
1,655360,81920,504.1504733586,7159761.400,10.92493
1,1310720,163840,-1649.1355994847,14998671.600,11.44308
8,384,384,12.4591740544,4059.000,10.57031
8,1152,1152,12.1582602501,12319.800,10.69427
8,10240,10240,54.8104228162,111346.400,10.87367
8,15360,15360,7.0527458396,169977.600,11.06625
8,40960,40960,-368.7024473654,473529.800,11.56079
8,81920,81920,87.1507312954,966091.200,11.79311
8,163840,163840,-302.7072751437,2047991.800,12.49995
64,48,384,11.0133799948,1080.600,22.51250
64,144,1152,-1.9399093641,1565.200,10.86944
64,1280,10240,-103.0217167507,14872.600,11.61922
64,1920,15360,15.2499069005,23004.000,11.98125
64,5120,40960,160.5278897511,326740.000,63.81641
64,10240,81920,-20.5287492073,163399.600,15.95699
64,20480,163840,310.7143296253,395516.600,19.31233
512,6,384,2.3292925792,177.400,29.56667
512,18,1152,-8.2587425342,207.200,11.51111
512,160,10240,-20.7047378466,5907.000,36.91875
512,240,15360,-16.9720367477,4040.000,16.83333
512,640,40960,-45.0621797513,9918.600,15.49781
512,1280,81920,-40.0275646094,27671.000,21.61797
512,2560,163840,-102.6265122842,44077.400,17.21773
4096,1,384,-1.1444916805,69.000,69.00000
4096,2,1152,0.5332823296,93.200,46.60000
4096,20,10240,3.4441512793,297.800,14.89000
4096,30,15360,4.0495580305,522.000,17.40000
4096,80,40960,-17.2853899665,4595.600,57.44500
4096,160,81920,14.7833373085,2163.200,13.52000
4096,320,163840,-4.2724709824,4807.200,15.02250
1,3072,384,-15.7312949140,32666.400,10.63359
1,9216,1152,-6.0847131638,202406.300,21.96249
1,81920,10240,-53.5909132578,1738756.300,21.22505
